verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
"Erysichton lineatus (Murray, 1874)",Erysichton lineata,Erysichton lineata,,Synonym
Esakiozephyrus neis,,,,
Euchrysops,,NA,,No species name
Euchrysops sp.,,NA,,No species name
Euerma sp.,,NA,,No species name
Eugrumia herse,,,,
Euploea,,NA,,No species name
Euploea abjecta,Euploea algea,Euploea algea,,Synonym
Euploea andamanensis,Euploea core,Euploea core,,Synonym
"Euploea battesii resarta Butler, 1876",Euploea batesii,Euploea batesii,,Spelling mistake
Euploea camaralzema malayica,Euploea camaralzeman,Euploea camaralzeman,,Spelling mistake
Euploea clugii,,Euploea klugii,,Spelling mistake
"Euploea Fabricius, 1807",,NA,,No species name
Euploea leucone princesa,,,,
Euploea phaenarete,Euploea phaenareta,Euploea phaenareta,,Synonym
Euploea phaenerata,Euploea phaenareta,Euploea phaenareta,,Synonym
Euploea sp. UMKL JJW0185,,NA,,No species name
Euploea sp. UMKL JJW0186,,NA,,No species name
Euploea spec.,,NA,,No species name
Euploea spp.,,NA,,No species name
"Euploea swaison emigrantus Monastyrskii, 2012",Euploea swainson,Euploea swainson,,Spelling mistake
Euploea sylcester mithrenes Fruhstorfer,Euploea sylvester,Euploea sylvester,,Spelling mistake
Euploea tullious Euploea tulliolus Fabricius,Euploea tulliolus,Euploea tulliolus,,Spelling mistake
Euploea tullliolus koxinga,Euploea tulliolus,Euploea tulliolus,,Spelling mistake
Eupolea tulliolus,Euploea tulliolus,Euploea tulliolus,,Spelling mistake
Eupsychellus dionicius,,Pithecops dionisius,,Synonym; Spelling mistake
Eurema,,NA,,No species name
Eurema  mandarina,Eurema mandarina,Eurema mandarina,,Typo
"Eurema (Terias) hecabe (Linnaeus, 1758)",Eurema hecabe,Eurema hecabe,,Synonym
"Eurema (Terias) hecabe contubernalis (Moore, 1886)",Eurema hecabe,Eurema hecabe,,Synonym
Eurema alithe esaki shirozu,Eurema alitha,Eurema alitha,,Spelling mistake
Eurema altha jalendra (Fruhstorfer),,,,
Eurema becabe borneensis (Fruhstorfer),,Eurema hecabe,,Spelling mistake
Eurema becabe simulata (Moore),,Eurema hecabe,,Spelling mistake
Eurema indet.,,NA,,No species name
"Eurema indet. Cramer, 1780",,NA,,No species name
Eurema lacteala lacteala (Distant),Eurema lacteola,Eurema lacteola,,Spelling mistake
Eurema noyae pallida shirozu & Yata,,,,
Eurema sana,,Eurema laeta,,Synonym
Eurema spp,,NA,,No species name
Euripus nycterius haterius Fruhstorfer,Euripus nyctelius,Euripus nyctelius,,Spelling mistake
Eurytides agamemnon,,Graphium agamemnon,,Synonym
Eurytides sarpedon luctatius,,Graphium sarpedon,,Synonym
Euthalia acontius,Euthalia aconthea,Euthalia aconthea,,Synonym
Euthalia chayuensis,,,,
Euthalia cosytus cosytus (Fabricius),Tanaecia cocytus,Tanaecia cocytus,,Synonym; Spelling mistake
Euthalia dubernardi,Euthalia khama,Euthalia khama,,Synonym
Euthalia duna manaya Fruhstorfer,Euthalia dunnya,,,
Euthalia japis cocytina (Horsfield),Tanaecia japis,Tanaecia iapis,,Synonym
Euthalia japis puseda (Moore),Tanaecia japis,Tanaecia iapis,,Synonym
Euthalia Mahadeva sakii (de Niceville),Tanaecia sakii,Euthalia mahadeva,sakii,Synonym
"Euthalia malaccama malaccama Fruhstorfer, 1899",Euthalia malaccana,Euthalia malaccana,,Spelling mistake
Euthalia pacifica,Euthalia nara,Euthalia nara,,Synonym
Euthalia rickettsi,Euthalia undosa,Euthalia thibetana,,Synonym
Euthalia yao,,Euthalia anosia,,Synonym
Euthalia yasuyukii,,,,
Everes,,NA,,No species name
"Everes agriades (Pallas, 2002)",Elkalyce argiades,Cupido argiades,,Synonym
